City,Restaurant_Count,Average_Price_Range,Average_Rating,Average_Rated_Rating,Rated_Restaurants
Kolkata,20,2.85,4.255,4.255,20
Lakes Entrance,1,1.0,3.8,3.8,1
Lakeview,1,1.0,3.6,3.6,1
Lincoln,1,2.0,4.5,4.5,1
London,20,3.0,4.535,4.535,20
Lorn,1,2.0,3.6,3.6,1
Lucknow,17,2.6470588235294117,4.223529411764706,4.223529411764706,17
Ludhiana,18,2.611111111111111,4.011111111111111,4.011111111111111,18
Macedon,1,2.0,3.5,3.5,1
Macon,20,2.05,4.115,4.115,20
Makati City,2,3.0,4.65,4.65,2
Manchester,20,2.7,4.045,4.045,20
Mandaluyong City,4,3.75,4.625,4.625,4
Mangalore,11,2.4545454545454546,3.6818181818181817,3.6818181818181817,11
Mayfield,1,2.0,2.9,2.9,1
Mc Millan,1,1.0,2.4,2.4,1
Middleton Beach,1,3.0,3.8,3.8,1
Miller,1,1.0,3.4,3.4,1
Mohali,1,2.0,4.3,4.3,1
Monroe,1,2.0,3.6,3.6,1
Montville,1,3.0,2.4,2.4,1
Mumbai,20,2.75,4.085,4.085,20
Mysore,19,2.3684210526315788,3.71578947368421,3.71578947368421,19
Nagpur,19,2.3684210526315788,3.9684210526315793,3.9684210526315793,19
Nashik,14,2.857142857142857,3.5714285714285716,3.5714285714285716,14
New Delhi,5240,1.632442748091603,2.50206106870229,3.298314465408805,3975
Noida,987,1.6281661600810537,2.1662613981762915,3.1581979320531754,677
Ojo Caliente,1,3.0,3.6,3.6,1
Orlando,20,2.9,4.475,4.475,20
Palm Cove,1,3.0,4.4,4.4,1
Panchkula,1,4.0,4.2,4.2,1
Pasay City,3,4.0,4.366666666666667,4.366666666666667,3
Pasig City,3,3.0,4.633333333333334,4.633333333333334,3
Patna,17,2.3529411764705883,3.447058823529412,3.447058823529412,17
Paynesville,1,4.0,2.6,2.6,1
Penola,1,2.0,3.4,3.4,1
Pensacola,20,2.35,4.2,4.2,20
Phillip Island,1,2.0,3.7,3.7,1
Pocatello,20,1.8,3.4850000000000003,3.668421052631579,19
Potrero,1,2.0,3.3,3.3,1
Pretoria,20,3.7,4.1899999999999995,4.1899999999999995,20
Princeton,1,4.0,4.0,4.0,1
Puducherry,20,3.0,3.7299999999999995,3.7299999999999995,20
Pune,20,2.95,4.220000000000001,4.220000000000001,20
Quezon City,1,3.0,4.8,4.8,1
Ranchi,16,2.0625,3.475,3.475,16
Randburg,1,3.0,4.3,4.3,1
Rest of Hawaii,20,2.35,4.41,4.41,20
Rio de Janeiro,20,3.5,4.265,4.489473684210526,19
San Juan City,2,3.0,4.25,4.25,2
Sandton,11,3.8181818181818183,4.3,4.3,11
Santa Rosa,2,3.0,3.8,3.8,2
Savannah,20,2.35,4.154999999999999,4.154999999999999,20
Secunderabad,2,2.0,4.5,4.5,2
Sharjah,20,3.3,4.029999999999999,4.029999999999999,20
Singapore,20,3.65,3.575,3.575,20
Sioux City,20,1.9,3.7649999999999997,3.7649999999999997,20
Surat,20,2.65,3.935,3.935,20
S��o Paulo,20,3.6,3.53,4.152941176470588,17
Tagaytay City,1,3.0,4.5,4.5,1
Taguig City,4,3.5,4.525,4.525,4
Tampa Bay,20,2.55,4.41,4.41,20
Tangerang,2,3.0,4.300000000000001,4.300000000000001,2
Tanunda,1,3.0,4.4,4.4,1
Trentham East,1,2.0,4.1,4.1,1
Vadodara,10,2.7,4.08,4.08,10
Valdosta,20,2.25,3.715,3.715,20
Varanasi,13,2.4615384615384617,3.4769230769230766,3.4769230769230766,13
Vernonia,1,1.0,4.3,4.3,1
Victor Harbor,1,2.0,3.6,3.6,1
Vineland Station,1,4.0,4.3,4.3,1
Vizag,15,2.2666666666666666,4.013333333333334,4.013333333333334,15
Waterloo,20,1.75,3.65,3.65,20
Weirton,1,2.0,3.9,3.9,1
Wellington City,20,3.25,4.25,4.25,20
Winchester Bay,1,2.0,3.2,3.2,1
Yorkton,1,2.0,3.3,3.3,1
��stanbul,14,2.857142857142857,4.292857142857143,4.292857142857143,14
